"time", "users", "average response time", "queries Per Second", "label", "queries", "rows read", "updates", "deletes", "inserts", "interval"
220, 10, 1, 116, "Jul 29, 2013 4:08:09 PM", 116, 3440, 10, 5, 7, 1
221, 10, 0, 0, "Jul 29, 2013 4:08:11 PM", 0, 0, 0, 0, 0, 1
222, 10, 1, 157, "Jul 29, 2013 4:08:13 PM", 157, 0, 31, 31, 28, 1
223, 10, 1, 675, "Jul 29, 2013 4:08:15 PM", 675, 0, 33, 50, 53, 1
224, 10, 1, 797, "Jul 29, 2013 4:08:17 PM", 797, 0, 67, 83, 74, 1
225, 10, 1, 79, "Jul 29, 2013 4:08:19 PM", 79, 0, 6, 4, 4, 1
226, 10, 0, 0, "Jul 29, 2013 4:08:21 PM", 0, 0, 0, 0, 0, 1
227, 10, 1, 31, "Jul 29, 2013 4:08:24 PM", 31, 0, 7, 5, 8, 1
228, 10, 3, 684, "Jul 29, 2013 4:08:26 PM", 684, 139584, 69, 81, 61, 1
229, 10, 3, 645, "Jul 29, 2013 4:08:28 PM", 645, 141393, 54, 79, 64, 1
230, 10, 3, 37, "Jul 29, 2013 4:08:30 PM", 37, 19735, 2, 2, 6, 1
231, 10, 0, 0, "Jul 29, 2013 4:08:32 PM", 0, 0, 0, 0, 0, 1
232, 10, 1, 169, "Jul 29, 2013 4:08:34 PM", 169, 2415, 28, 34, 39, 1
233, 10, 2, 733, "Jul 29, 2013 4:08:36 PM", 733, 49563, 59, 72, 57, 1
234, 10, 2, 738, "Jul 29, 2013 4:08:38 PM", 738, 54409, 75, 61, 67, 1
235, 10, 1, 22, "Jul 29, 2013 4:08:40 PM", 22, 0, 2, 2, 1, 1
236, 10, 0, 0, "Jul 29, 2013 4:08:42 PM", 0, 0, 0, 0, 0, 1
237, 10, 1, 183, "Jul 29, 2013 4:08:44 PM", 183, 0, 30, 32, 26, 1
238, 10, 1, 772, "Jul 29, 2013 4:08:46 PM", 772, 0, 66, 59, 70, 1
239, 10, 1, 753, "Jul 29, 2013 4:08:48 PM", 753, 0, 64, 52, 56, 1
240, 10, 1, 7, "Jul 29, 2013 4:08:50 PM", 7, 0, 0, 0, 0, 1
241, 10, 0, 0, "Jul 29, 2013 4:08:52 PM", 0, 0, 0, 0, 0, 1
242, 10, 2, 214, "Jul 29, 2013 4:08:54 PM", 214, 18818, 39, 44, 43, 1
243, 10, 6, 541, "Jul 29, 2013 4:08:56 PM", 541, 203124, 56, 64, 53, 1
244, 10, 7, 502, "Jul 29, 2013 4:08:58 PM", 502, 193191, 63, 59, 72, 1
245, 10, 4, 2, "Jul 29, 2013 4:09:00 PM", 2, 1620, 0, 0, 0, 1
